country,iso,region,score,rank,interval
Switzerland,CHE,WE/EU,8.7,8,7.4 - 9.1
Syria,SYR,MENA,2.5,127,1.8 - 3.3
Taiwan,TWN,AP,5.8,33,5.1 - 7.1
Tajikistan,TJK,ECA,2.1,154,1.4 - 3.3
Tanzania,TZA,SSA,2.7,116,2.1 - 3.3
Thailand,THA,AP,3.5,78,2.2 - 4.4
Timor-Leste,TLS,AP,2.5,127,1.7 - 3.1
Togo,TGO,SSA,2.4,134,1.7 - 3.4
Trinidad and Tobago,TTO,AME,3.6,73,2.8 - 4.7
Tunisia,TUN,MENA,4.3,59,2.3 - 6.6
Turkey,TUR,ECA,4.4,56,3.3 - 5.2
Turkmenistan,TKM,ECA,1.6,172,1.4 - 1.8
Uganda,UGA,SSA,2.5,127,1.9 - 3.5
Ukraine,UKR,ECA,2.4,134,1.8 - 3.1
United Arab Emirates,ARE,MENA,6.3,28,4.9 - 7.5
United Kingdom,GBR,WE/EU,7.6,20,6.8 - 8.2
United States of America,USA,AME,7.1,22,5.7 - 8.9
Uruguay,URY,AME,6.9,24,6.2 - 7.4
Uzbekistan,UZB,ECA,1.6,172,1.3 - 1.9
Vanuatu,VUT,AP,3.6,73,1.3 - 5.8
Venezuela,VEN,AME,2,164,1.5 - 2.3
Vietnam,VNM,AP,2.7,116,1.9 - 4.0
Yemen,YEM,MENA,2.2,146,1.9 - 2.7
Zambia,ZMB,SSA,3,101,2.1 - 3.7
Zimbabwe,ZWE,SSA,2.4,134,1.3 - 3.5
